Birth Year,Count,,Decade,Births,,
1730,1,,1730-1740,9,,
1731,1,,1741-1750,6,,
1731,1,,1751-1760,41,,
1732,1,,1761-1770,54,,
1735,1,,1771-1780,41,,
1736,1,,1781-1790,33,,
1737,1,,1791-1800,39,,
1738,1,,1801-1810,53,,
1740,1,,1811-1820,71,,
1742,1,,1821-1830,106,,
1744,1,,1831-1840,88,,
1745,1,,,,541,1087
1745,1,,,,0.49770009199632,
1746,1,,,,,
1748,1,,,,,
1751,1,,,,,
1752,1,,,,,
1752,1,,,,,
1752,1,,,,,
1753,1,,,,,
1753,1,,,,,
1754,1,,,,,
1754,1,,,,,
1754,1,,,,,
1754,1,,,,,
1755,1,,,,,
1755,1,,,,,
1755,1,,,,,
1755,1,,,,,
1755,1,,,,,
1755,1,,,,,
1756,1,,,,,
1756,1,,,,,
1756,1,,,,,
1756,1,,,,,
1758,1,,,,,
1758,1,,,,,
1758,1,,,,,
1758,1,,,,,
1758,1,,,,,
1758,1,,,,,
1759,1,,,,,
1759,1,,,,,
1759,1,,,,,
1759,1,,,,,
1759,1,,,,,
1759,1,,,,,
1759,1,,,,,
1759,1,,,,,
1759,1,,,,,
1759,1,,,,,
1759,1,,,,,
1759,1,,,,,
1760,1,,,,,
1760,1,,,,,
1760,1,,,,,
1761,1,,,,,
1761,1,,,,,
1761,1,,,,,
1761,1,,,,,
1761,1,,,,,
1761,1,,,,,
1761,1,,,,,
1761,1,,,,,
1761,1,,,,,
1761,1,,,,,
1762,1,,,,,
1762,1,,,,,
1762,1,,,,,
1762,1,,,,,
1762,1,,,,,
1762,1,,,,,
1762,1,,,,,
1763,1,,,,,
1763,1,,,,,
1763,1,,,,,
1763,1,,,,,
1763,1,,,,,
1764,1,,,,,
1764,1,,,,,
1764,1,,,,,
1765,1,,,,,
1765,1,,,,,
1765,1,,,,,
1765,1,,,,,
1765,1,,,,,
1765,1,,,,,
1765,1,,,,,
1765,1,,,,,
1765,1,,,,,
1765,1,,,,,
1765,1,,,,,
1765,1,,,,,
1766,1,,,,,
1766,1,,,,,
1766,1,,,,,
1766,1,,,,,
1767,1,,,,,
1767,1,,,,,
1767,1,,,,,
1767,1,,,,,
1768,1,,,,,
1768,1,,,,,
1768,1,,,,,
1768,1,,,,,
1769,1,,,,,
1769,1,,,,,
1770,1,,,,,
1770,1,,,,,
1770,1,,,,,
1771,1,,,,,
1773,1,,,,,
1773,1,,,,,
1773,1,,,,,
1773,1,,,,,
1773,1,,,,,
1773,1,,,,,
1773,1,,,,,
1773,1,,,,,
1773,1,,,,,
1773,1,,,,,
1773,1,,,,,
1773,1,,,,,
1773,1,,,,,
1775,1,,,,,
1775,1,,,,,
1775,1,,,,,
1775,1,,,,,
1775,1,,,,,
1775,1,,,,,
1776,1,,,,,
1776,1,,,,,
1776,1,,,,,
1776,1,,,,,
1777,1,,,,,
1777,1,,,,,
1777,1,,,,,
1777,1,,,,,
1777,1,,,,,
1778,1,,,,,
1778,1,,,,,
1778,1,,,,,
1778,1,,,,,
1778,1,,,,,
1778,1,,,,,
